policy,seed,condition,detectedAt,missed,detectionRate,handoffAt,handoffRate,meanCappedS,rmseM,custodyPct,postTowerSamples,postTowerCustodySamples,falseConfirmations
"untrained","591997","haze",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591998","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591999","haze",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592000","clear","30","false","100","45","100","30","11.198386940808597","80.32786885245902","0","0","0"
"untrained","592001","haze",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592002","haze",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592003","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592004","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592005","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592006","clear",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592007","clear",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592008","haze","35","false","100","55","100","35","23.599910706047638","52.459016393442624","11","6","0"
"untrained","592009","clear","60","false","100","95","100","60","17.76827415237338","55.73770491803278","27","23","0"
"untrained","592010","haze","165","false","100","270","100","165","73.31862598889911","9.836065573770492","0","0","0"
"untrained","592011","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592012","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592013","clear",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592014","haze","100","false","100","190","100","100","38.35671870998913","13.114754098360656","0","0","0"
"untrained","592015","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592016","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592017","clear","90","false","100","120","100","90","12.031789399353675","37.704918032786885","0","0","0"
"untrained","592018","clear",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592019","haze",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592020","clear","115","false","100","135","100","115","12.560441747732684","40.98360655737705","0","0","0"
"untrained","592021","haze",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592022","clear",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592023","clear",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592024","haze",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592025","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592026","clear",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592027","glare","235","false","100","280","100","235","150.3755145200755","8.19672131147541","0","0","0"
"untrained","592028","clear",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592029","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592030","haze",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592031","haze",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592032","clear",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592033","clear",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592034","glare","230","false","100","265","100","230","30.26320283664958","9.836065573770492","0","0","0"
"untrained","592035","haze","120","false","100","145","100","120","20.83112232426054","29.508196721311474","0","0","0"
"untrained","592036","haze",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592037","haze",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592038","haze",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592039","clear",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592040","haze",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592041","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592042","clear","215","false","100","225","100","215","14.409117230746954","21.311475409836063","0","0","0"
"untrained","592043","clear","175","false","100","210","100","175","22.081030791887567","22.950819672131146","0","0","0"
"untrained","592044","clear",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592045","clear",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592046","clear","115","false","100","155","100","115","21.122103298543074","49.18032786885246","17","17","0"
"untrained","592047","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592048","clear",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592049","clear","35","false","100","50","100","35","10.362247665645835","78.68852459016394","19","19","0"
"untrained","592050","clear",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592051","haze","290","false","100",,"0","290","44.88015516530563","0","0","0","0"
"untrained","592052","clear",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592053","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592054","haze",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592055","clear",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592056","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592057","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592058","haze",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592059","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592060","haze",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592061","haze",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592062","clear",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592063","haze",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592064","clear","80","false","100","115","100","80","12.025415536226198","55.73770491803278","0","0","0"
"untrained","592065","clear",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592066","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592067","haze",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592068","glare","235","false","100","270","100","235","55.34696188493256","6.557377049180328","0","0","0"
"untrained","592069","clear",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592070","glare","115","false","100","205","100","115","50.465672424161234","26.229508196721312","0","0","0"
"untrained","592071","clear","25","false","100","65","100","25","9.611156029416074","65.57377049180327","0","0","0"
"untrained","592072","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592073","clear",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592074","clear",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592075","haze","20","false","100","125","100","20","49.73258033261713","14.754098360655737","0","0","0"
"untrained","592076","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592077","glare","60","false","100",,"0","60","100.72289841048557","0","23","0","0"
"untrained","592078","clear","120","false","100","135","100","120","12.634057846006936","47.540983606557376","0","0","0"
"untrained","592079","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592080","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592081","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592082","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592083","haze",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592084","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592085","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592086","clear","55","false","100","75","100","55","11.180999303406834","75.40983606557377","0","0","0"
"untrained","592087","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592088","haze",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592089","clear","5","false","100","25","100","5","8.95099710250402","88.52459016393442","11","9","0"
"untrained","592090","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592091","clear",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592092","haze","170","false","100","225","100","170","21.73172751369855","14.754098360655737","0","0","0"
"untrained","592093","clear",,"true","0",,"0","300",,"0","0","0","0"
"untrained","592094","haze",,"true","0",,"0","300",,"0","0","0","0"
